,id,latitude,longitude,is_location_exact,Property_ID,bedrooms,price,review_scores_rating,number_of_reviews,std_review,Neighbourhood_ID,cleaning_fee,security_deposit,minimum_nights,instant_bookable,is_business_travel_ready,Cancellation_ID,availability_365,Wifi,TV,kitchen,Distance_from_center,Distance_from_airport
0,2015,52.53453732,13.40255693,0,2001,1,60,93,118,2.478639369,1019,30,200,4,0,0,3001,141,1,1,1,1.6,8.5
1,2695,52.54851279,13.40455283,1,2002,1,17,100,6,2.970882267,1097,0,0,2,0,0,3002,0,1,0,1,3.2,8
2,3176,52.53499619,13.41757867,1,2002,1,90,92,143,2.419654461,1100,50,200,62,1,0,3001,220,1,0,1,1.9,9.4
3,3309,52.49885493,13.34906453,1,2002,1,26,88,25,2.589400392,1109,30,250,5,0,0,3001,297,1,0,0,4.5,9.1
4,7071,52.54315726,13.4150911,1,2002,1,42,96,197,2.469728428,1050,0,0,2,0,0,3003,26,1,0,0,2.7,8.8
5,9991,52.53303077,13.41604682,0,2002,4,180,100,6,2.970882267,1100,80,400,6,0,0,3001,137,1,1,1,1.6,9.4
6,14325,52.54784641,13.40556224,1,2002,0,70,93,23,2.722266801,1097,0,500,90,0,0,3001,129,1,1,1,3.1,8.1
7,16401,52.510514,13.45785024,1,2002,1,120,94,0,2.85,1033,0,0,30,0,0,3001,365,1,1,1,3.7,13.1
8,16644,52.50479227,13.43510185,1,2002,1,90,94,48,2.659391696,1077,50,500,60,0,0,3001,159,1,1,1,2.7,12.2
9,17409,52.52907092,13.41284339,1,2003,1,45,96,279,2.430710607,1100,18,0,3,0,0,3001,42,1,1,1,1.1,9.4
10,17904,52.49547633,13.42182128,0,2002,1,49,96,223,2.453764215,1103,50,0,5,0,0,3001,232,1,1,1,3,12.2
11,20858,52.53695243,13.40761503,1,2004,2,129,87,56,2.460604532,1100,49,500,3,0,0,3001,166,1,1,1,1.9,8.7
12,21869,52.50273333,13.43461986,1,2002,1,70,95,60,2.649405818,1077,40,500,60,0,0,3001,129,1,1,1,2.8,12.3
13,22415,52.49485062,13.4285006,1,2002,2,98,94,61,2.621675435,1108,50,300,3,0,0,3001,257,1,1,1,3.2,12.6
14,22677,52.53434836,13.40557652,1,2002,1,160,94,223,2.403764215,1019,40,150,3,0,0,3001,228,1,1,1,1.6,8.7
15,23834,52.48971443,13.37974758,1,2003,1,65,87,96,2.366446443,1121,50,500,60,0,0,3001,275,1,1,1,3.8,10.9
16,24569,52.53079085,13.41808444,1,2002,2,90,94,18,2.767635106,1100,35,200,3,0,0,3001,3,1,1,1,1.5,9.6
17,25653,52.53025874,13.41946696,1,2002,2,90,100,5,2.975614712,1099,55,200,4,0,0,3001,15,1,1,1,1.5,9.7
18,26543,52.54406239,13.42137652,1,2002,2,197,91,163,2.372964787,1050,50,250,3,1,0,3001,336,1,1,1,2.9,9.2
19,28156,52.54671937,13.40511702,1,2002,0,70,92,28,2.677891871,1097,0,1660,90,0,0,3001,191,1,1,1,3,8.1
20,28268,52.51338523,13.46994751,0,2002,2,90,91,30,2.64540911,1033,50,200,5,0,0,3001,55,1,1,1,4.5,13.6
21,28711,52.48610615,13.43481698,1,2002,1,60,100,1,2.995024917,1103,30,0,2,0,0,3002,341,0,0,0,4.3,13.6
22,29279,52.54178765,13.42388316,0,2002,2,130,96,69,2.650788035,1050,80,1500,60,0,0,3001,221,1,1,1,2.7,9.5
23,30295,52.54596726,13.42235887,1,2002,2,100,95,240,2.420358977,1050,40,0,4,1,0,3001,296,1,1,1,3.1,9.2
24,31440,52.54308929,13.42245309,0,2002,1,44,89,28,2.602891871,1050,15,100,1,0,0,3003,361,1,1,1,2.8,9.3
25,33043,52.52141798,13.3570823,1,2002,1,62,89,144,2.343463879,1073,20,0,3,1,0,3001,343,1,0,1,3.2,7.2
